participant,backend,extracted_frame,judge_verdict,tacit_mechanism,judge_rationale,report_EN,human_verdict 1 (EXPLICIT/TACIT/WEAK/UNWARR),human_note,human_verdict 2 (EXPLICIT/TACIT/WEAK/UNWARR),human_note
5,Claude,appraisal,TACIT,IMPLICATURE,'looking around' is active situational monitoring/appraisal.,"I waited, looking around me.",TACIT,,TACIT,
5,Claude,fear,TACIT,ToM,hypervigilant scanning in a harassment context implies threat affect.,"I waited, looking around me.",TACIT,,TACIT,
5,Claude,avoidance,WEAK,-,he waited and scanned; retreat/distancing is not implied.,"I waited, looking around me.",TACIT,fear associates with possible avoidance,TACIT,fear and looking around implicate intention to avoid
5,Gemini,Vigilance,EXPLICIT,stated,'looking around me'.,"I waited, looking around me.",EXPLICIT,,EXPLICIT,
6,Claude,avoidance,EXPLICIT,stated,"'moving away','not answering'.","By moving away and not answering their questions, for fear of possible aggression toward me.",EXPLICIT,,EXPLICIT,
6,Claude,fear,EXPLICIT,stated,'for fear'.,"By moving away and not answering their questions, for fear of possible aggression toward me.",EXPLICIT,,EXPLICIT,
6,Claude,appraisal,EXPLICIT,stated,'possible aggression' anticipatory appraisal.,"By moving away and not answering their questions, for fear of possible aggression toward me.",EXPLICIT,,EXPLICIT,
6,Gemini,Avoidance,EXPLICIT,stated,'moving away'.,"By moving away and not answering their questions, for fear of possible aggression toward me.",EXPLICIT,,EXPLICIT,
6,Gemini,Fear,EXPLICIT,stated,'for fear'.,"By moving away and not answering their questions, for fear of possible aggression toward me.",EXPLICIT,,EXPLICIT,
7,Claude,appraisal,TACIT,PRESUPPOSITION,'without desire to receive attention' presupposes appraising the attention as unwanted.,I felt uneasy hearing these phrases without any desire to receive attention from the avatars.,TACIT,,TACIT,
7,Claude,fear,TACIT,IMPACT,'uneasy' in a harassment frame is threat-linked affect (fear family).,I felt uneasy hearing these phrases without any desire to receive attention from the avatars.,TACIT,,TACIT,
7,Claude,embodied,TACIT,IMPACT,'uneasy' is a felt bodily state (somatic register); weaker end.,I felt uneasy hearing these phrases without any desire to receive attention from the avatars.,TACIT,,TACIT,
7,Claude,avoidance,TACIT,IMPLICATURE,'no desire to receive attention' implies a withdrawal stance.,I felt uneasy hearing these phrases without any desire to receive attention from the avatars.,TACIT,,TACIT,
7,Claude,anger,UNWARRANTED,-,the affect is unease (fear/discomfort family); anger requires hostility neither stated nor implied.,I felt uneasy hearing these phrases without any desire to receive attention from the avatars.,UNWARRANTED,,UNWARRANTED,
7,Gemini,Fear,TACIT,IMPACT,'uneasy' -> threat-family affect; not stated as fear.,I felt uneasy hearing these phrases without any desire to receive attention from the avatars.,TACIT,,TACIT,
8,Claude,anger,EXPLICIT,stated,'a feeling of anger arose in me'.,A feeling of anger arose in me.,EXPLICIT,,EXPLICIT,
8,Claude,embodied,TACIT,IMPACT,'arose in me' frames the anger as an internally-felt bodily arising.,A feeling of anger arose in me.,TACIT,,TACIT,
8,Gemini,Confrontation,UNWARRANTED,-,internal feeling of anger only; no confrontational behaviour -> bundling projection.,A feeling of anger arose in me.,TACIT,anger can potentially lead to confrontation in that context,WEAK,
9,Claude,avoidance,EXPLICIT,stated,'moved away to avoid'.,I moved away to avoid trouble.,EXPLICIT,,EXPLICIT,
9,Claude,appraisal,TACIT,CAUSALITY,"'to avoid trouble' is purposive, presupposing appraisal of potential trouble.",I moved away to avoid trouble.,TACIT,,TACIT,
9,Claude,fear,TACIT,ToM,avoiding 'trouble' in a harassment frame implies threat-driven avoidance.,I moved away to avoid trouble.,TACIT,,TACIT,
9,Gemini,Avoidance,EXPLICIT,stated,'moved away'.,I moved away to avoid trouble.,EXPLICIT,,EXPLICIT,
10,Claude,avoidance,EXPLICIT,stated,'fled'.,I fled because I did not want anything to do with them.,EXPLICIT,,EXPLICIT,
10,Claude,fear,TACIT,IMPACT,'fled' is flight behaviour implying fear/urgency.,I fled because I did not want anything to do with them.,TACIT,,TACIT,
10,Gemini,Avoidance,EXPLICIT,stated,'fled'.,I fled because I did not want anything to do with them.,EXPLICIT,,EXPLICIT,
11,Claude,avoidance,EXPLICIT,stated,'moved away'.,"I moved away from all the other avatars and waited impatiently for the train, because the people, their comments, and their insistence made me uncomfortable.",EXPLICIT,,EXPLICIT,
11,Claude,appraisal,TACIT,CAUSALITY,attributing discomfort to 'comments... insistence' is causal appraisal.,"I moved away from all the other avatars and waited impatiently for the train, because the people, their comments, and their insistence made me uncomfortable.",TACIT,,TACIT,
11,Claude,embodied,TACIT,IMPACT,'uncomfortable' carries a somatic register.,"I moved away from all the other avatars and waited impatiently for the train, because the people, their comments, and their insistence made me uncomfortable.",TACIT,,TACIT,
11,Claude,fear,TACIT,ToM,discomfort + avoidance in a harassment frame implies threat affect.,"I moved away from all the other avatars and waited impatiently for the train, because the people, their comments, and their insistence made me uncomfortable.",TACIT,,TACIT,
11,Claude,anger,TACIT,IMPLICATURE,'waited impatiently' implies low-grade irritation.,"I moved away from all the other avatars and waited impatiently for the train, because the people, their comments, and their insistence made me uncomfortable.",TACIT,,TACIT,
11,Gemini,Avoidance,EXPLICIT,stated,'moved away'.,"I moved away from all the other avatars and waited impatiently for the train, because the people, their comments, and their insistence made me uncomfortable.",EXPLICIT,,EXPLICIT,
11,Gemini,Fear,TACIT,IMPACT,'uncomfortable' -> threat-family affect; not stated as fear.,"I moved away from all the other avatars and waited impatiently for the train, because the people, their comments, and their insistence made me uncomfortable.",TACIT,,TACIT,
12,Claude,avoidance,EXPLICIT,stated,'moved away'.,I moved away from them because I felt decidedly uncomfortable and unsafe.,EXPLICIT,,EXPLICIT,
12,Claude,fear,EXPLICIT,stated,'unsafe'.,I moved away from them because I felt decidedly uncomfortable and unsafe.,EXPLICIT,,EXPLICIT,
12,Gemini,Avoidance,EXPLICIT,stated,'moved away'.,I moved away from them because I felt decidedly uncomfortable and unsafe.,EXPLICIT,,EXPLICIT,
12,Gemini,Fear,EXPLICIT,stated,'unsafe'.,I moved away from them because I felt decidedly uncomfortable and unsafe.,EXPLICIT,,EXPLICIT,
13,Claude,avoidance,EXPLICIT,stated,"'needed to move away','isolate','at a distance'.","I had the sense that I needed to move away, even though initially, curious about the VR experience, I approached the avatars. For the rest of the experiment I felt the need to isolate myself and wait for the train at a distance from the other avatars.",EXPLICIT,,EXPLICIT,
13,Claude,appraisal,EXPLICIT,stated,'had the sense that I needed to' + curiosity->withdrawal shift is reflective.,"I had the sense that I needed to move away, even though initially, curious about the VR experience, I approached the avatars. For the rest of the experiment I felt the need to isolate myself and wait for the train at a distance from the other avatars.",EXPLICIT,,EXPLICIT,
13,Claude,embodied,WEAK,-,'felt the need to isolate' is motivational; thin somatic basis.,"I had the sense that I needed to move away, even though initially, curious about the VR experience, I approached the avatars. For the rest of the experiment I felt the need to isolate myself and wait for the train at a distance from the other avatars.",WEAK,,WEAK,
13,Claude,fear,TACIT,ToM,needing to isolate/distance in a harassment frame implies threat-driven avoidance.,"I had the sense that I needed to move away, even though initially, curious about the VR experience, I approached the avatars. For the rest of the experiment I felt the need to isolate myself and wait for the train at a distance from the other avatars.",TACIT,,TACIT,
13,Gemini,Avoidance,EXPLICIT,stated,"'move away','isolate'.","I had the sense that I needed to move away, even though initially, curious about the VR experience, I approached the avatars. For the rest of the experiment I felt the need to isolate myself and wait for the train at a distance from the other avatars.",EXPLICIT,,EXPLICIT,
14,Claude,avoidance,EXPLICIT,stated,spatial avoidance: 'least crowded spot'.,"I moved to the spot on the platform that had the least crowding, so as to hear their words at minimum volume.",EXPLICIT,,EXPLICIT,
14,Claude,appraisal,EXPLICIT,stated,'so as to' strategic reasoning.,"I moved to the spot on the platform that had the least crowding, so as to hear their words at minimum volume.",EXPLICIT,,EXPLICIT,
14,Claude,fear,TACIT,ToM/IMPACT,minimising exposure to the voices implies threat/discomfort-driven avoidance.,"I moved to the spot on the platform that had the least crowding, so as to hear their words at minimum volume.",TACIT,,TACIT,
14,Gemini,Avoidance,EXPLICIT,stated,'moved to...'.,"I moved to the spot on the platform that had the least crowding, so as to hear their words at minimum volume.",EXPLICIT,,EXPLICIT,
15,Claude,avoidance,EXPLICIT,stated,'ignore them'.,"My behaviour toward the avatars' questions was to ignore them, because that helped me perceive them as more distant and therefore made me feel safer.",EXPLICIT,,EXPLICIT,
15,Claude,appraisal,EXPLICIT,stated,explicit reasoning about distance/safety.,"My behaviour toward the avatars' questions was to ignore them, because that helped me perceive them as more distant and therefore made me feel safer.",EXPLICIT,,EXPLICIT,
15,Claude,fear,TACIT,PRESUPPOSITION,'made me feel safer' presupposes a prior unsafe/threat state.,"My behaviour toward the avatars' questions was to ignore them, because that helped me perceive them as more distant and therefore made me feel safer.",TACIT,,TACIT,
15,Gemini,Avoidance,EXPLICIT,stated,'ignore them'.,"My behaviour toward the avatars' questions was to ignore them, because that helped me perceive them as more distant and therefore made me feel safer.",EXPLICIT,,EXPLICIT,
16,Claude,avoidance,EXPLICIT,stated,"'move away','look for a safe space'.","I did not have the instinct to respond but rather to move away and look for a safe space, which I did not find.",EXPLICIT,,EXPLICIT,
16,Claude,appraisal,TACIT,IMPLICATURE,weighing 'respond' vs 'move away' is appraisal of options.,"I did not have the instinct to respond but rather to move away and look for a safe space, which I did not find.",TACIT,,TACIT,
16,Claude,fear,TACIT,PRESUPPOSITION,seeking 'a safe space' presupposes threat/unsafety.,"I did not have the instinct to respond but rather to move away and look for a safe space, which I did not find.",TACIT,,TACIT,
16,Gemini,Avoidance,EXPLICIT,stated,'move away'.,"I did not have the instinct to respond but rather to move away and look for a safe space, which I did not find.",EXPLICIT,,EXPLICIT,
17,Gemini,Unaffected,EXPLICIT,stated,'calm and serene'.,In a calm and serene manner.,EXPLICIT,,EXPLICIT,
18,Claude,anger,EXPLICIT,stated,"'gruffly','heavy insults'.",I reacted gruffly and responded with heavy insults.,EXPLICIT,,EXPLICIT,
18,Claude,confrontation,EXPLICIT,stated,'responded with heavy insults'.,I reacted gruffly and responded with heavy insults.,EXPLICIT,,EXPLICIT,
18,Gemini,Confrontation,EXPLICIT,stated,'responded with insults'.,I reacted gruffly and responded with heavy insults.,EXPLICIT,,EXPLICIT,
